Date,Time,Sail Number,Speed (kts),Wind Speed,Gust Speed,Ratio
1998-10-09,16:09:01,584,19.796,14.00,0.00,1.414
1998-10-09,16:10:20,171,18.766,12.00,0.00,1.564
1998-10-09,16:10:47,98,6.752,14.00,0.00,0.482
1998-10-09,16:11:00,18,7.346,15.00,0.00,0.490
1998-10-09,16:11:56,138,19.009,15.00,0.00,1.267
1998-10-09,16:12:25,111,20.967,13.00,0.00,1.613
1998-10-09,16:12:37,30,12.842,12.00,0.00,1.070
1998-10-09,16:12:56,11,22.176,19.00,0.00,1.167
1998-10-09,16:13:44,905,21.875,17.00,0.00,1.287
1998-10-09,16:14:31,9,22.205,15.00,0.00,1.480
1998-10-09,16:14:50,171,21.634,17.00,0.00,1.273
1998-10-09,16:15:27,711,22.894,15.00,0.00,1.526
1998-10-09,16:17:21,47,22.806,13.00,0.00,1.754
1998-10-09,16:17:31,11,22.148,15.00,0.00,1.477
1998-10-09,16:17:55,138,19.110,10.00,0.00,1.911
1998-10-09,16:18:17,111,19.728,13.00,0.00,1.518
1998-10-09,16:18:29,101,18.708,19.00,0.00,0.985
1998-10-09,16:18:48,9,21.660,18.00,0.00,1.203
1998-10-09,16:19:41,584,19.489,13.00,0.00,1.499
1998-10-09,16:20:17,458,13.891,13.00,0.00,1.069
1998-10-09,16:21:37,47,23.850,13.00,0.00,1.835
1998-10-09,16:21:46,18,7.451,15.00,0.00,0.497
1998-10-09,16:22:19,171,20.844,17.00,0.00,1.226
1998-10-09,16:22:53,11,23.042,15.00,0.00,1.536
1998-10-09,16:23:06,30,14.518,15.00,0.00,0.968
1998-10-09,16:23:36,333,20.505,18.00,0.00,1.139
1998-10-09,16:25:21,584,19.619,14.00,0.00,1.401
1998-10-09,16:25:35,111,20.201,18.00,0.00,1.122
1998-10-09,16:25:54,47,23.072,15.00,0.00,1.538
1998-10-09,16:27:32,101,17.984,15.00,0.00,1.199
1998-10-09,16:27:49,171,21.118,14.00,0.00,1.508
1998-10-09,16:29:12,17,17.435,15.00,0.00,1.162
1998-10-09,16:29:48,47,23.784,12.00,0.00,1.982
1998-10-09,16:30:04,711,21.348,14.00,0.00,1.525
1998-10-09,16:30:14,111,20.993,14.00,0.00,1.500
1998-10-09,16:30:30,584,21.093,14.00,0.00,1.507
1998-10-09,16:31:54,27,20.771,15.00,0.00,1.385
1998-10-09,16:32:47,30,13.826,16.00,0.00,0.864
1998-10-09,16:32:51,171,21.956,15.00,0.00,1.464
1998-10-09,16:33:20,9,3.058,15.00,0.00,0.204
1998-10-09,16:34:27,101,19.619,14.00,0.00,1.401
1998-10-09,16:34:41,11,23.192,17.00,0.00,1.364
1998-10-09,16:35:48,111,20.624,12.00,0.00,1.719
1998-10-09,16:37:27,17,23.439,10.00,0.00,2.344
1998-10-09,16:37:58,9,22.543,15.00,0.00,1.503
1998-10-09,16:40:11,584,19.489,17.00,0.00,1.146
1998-10-09,16:40:33,30,14.784,15.00,0.00,0.986
1998-10-09,16:41:07,27,20.722,14.00,0.00,1.480
1998-10-09,16:41:25,171,20.109,15.00,0.00,1.341
1998-10-09,16:42:27,101,19.512,13.00,0.00,1.501
1998-10-09,16:45:22,584,17.082,13.00,0.00,1.314
1998-10-09,16:45:51,17,4.905,13.00,0.00,0.377
