Sail Number,Name,Time,Speed (kts),Wind
23,Barry Mason,11:22:05,27.72,26
27,Trevor Whatford,14:19:08,30.36,27
27,Trevor Whatford,14:14:50,29.43,26
27,Trevor Whatford,15:00:22,29.2,29
27,Trevor Whatford,13:30:26,29.07,16
27,Trevor Whatford,15:15:36,29.02,26
27,Trevor Whatford,13:39:49,28.81,27
27,Trevor Whatford,15:10:45,28.39,26
27,Trevor Whatford,15:24:01,28.1,26
27,Trevor Whatford,13:44:20,28.09,23
27,Trevor Whatford,15:48:19,27.78,29
27,Trevor Whatford,15:57:05,27,23
27,Trevor Whatford,16:10:19,26.44,34
27,Trevor Whatford,14:26:31,26.44,29
27,Trevor Whatford,16:17:29,24.4,17
27,Trevor Whatford,16:05:05,24.15,24
29,Tony Robinson,13:23:07,31.85,21
29,Tony Robinson,13:34:34,31.13,26
29,Tony Robinson,15:25:56,30.54,29
29,Tony Robinson,15:37:30,30.25,20
29,Tony Robinson,11:58:16,30.14,27
29,Tony Robinson,12:06:21,30.09,21
29,Tony Robinson,15:14:46,29.88,24
29,Tony Robinson,12:27:00,29.4,23
29,Tony Robinson,13:44:32,29.3,25
29,Tony Robinson,11:50:46,28.91,27
29,Tony Robinson,16:04:07,28.51,25
29,Tony Robinson,16:13:37,26.55,18
29,Tony Robinson,11:13:50,11.14,22
30,Dave Standing,15:06:50,29.52,28
30,Dave Standing,13:41:22,29.38,22
30,Dave Standing,13:19:31,29.38,15
30,Dave Standing,15:19:59,29.24,19
30,Dave Standing,15:01:39,28.94,24
30,Dave Standing,15:26:50,28.89,31
30,Dave Standing,15:13:45,28.77,21
30,Dave Standing,13:26:28,28.64,18
30,Dave Standing,12:23:49,28.6,28
30,Dave Standing,13:56:29,28.43,26
30,Dave Standing,13:34:06,28.14,25
30,Dave Standing,14:05:50,27.97,20
30,Dave Standing,13:49:18,27.78,17
30,Dave Standing,12:01:00,27.64,23
30,Dave Standing,13:11:50,27.45,24
30,Dave Standing,14:11:14,24.56,24
30,Dave Standing,12:10:26,23.59,19
30,Dave Standing,11:51:55,23.16,27
31,Paul Morris,16:03:36,32.39,25
31,Paul Morris,12:10:06,31.65,18
31,Paul Morris,13:22:08,31.14,31
31,Paul Morris,11:42:52,30.73,23
31,Paul Morris,13:35:29,30.36,21
31,Paul Morris,15:39:00,30.31,28
31,Paul Morris,13:41:32,30.17,23
31,Paul Morris,15:27:00,30.11,24
31,Paul Morris,12:05:01,30.05,20
31,Paul Morris,14:23:10,30.02,27
31,Paul Morris,13:45:06,29.88,21
31,Paul Morris,14:12:13,29.83,24
31,Paul Morris,11:31:12,29.82,19
31,Paul Morris,15:12:24,29.66,22
31,Paul Morris,13:51:35,29.61,32
31,Paul Morris,14:29:01,29.43,31
31,Paul Morris,12:31:22,29.36,27
31,Paul Morris,15:56:03,29.2,20
31,Paul Morris,11:35:36,29.17,26
31,Paul Morris,16:47:10,28.99,24
31,Paul Morris,15:22:05,28.94,24
31,Paul Morris,14:18:01,28.81,33
31,Paul Morris,15:32:03,28.77,27
31,Paul Morris,15:16:57,28.69,25
31,Paul Morris,16:54:51,28.59,25
31,Paul Morris,14:08:18,28.22,25
31,Paul Morris,12:22:07,28.17,28
31,Paul Morris,16:28:38,28.09,13
31,Paul Morris,12:00:11,27.88,22
31,Paul Morris,14:01:29,27.73,18
31,Paul Morris,16:23:49,27.65,29
31,Paul Morris,12:26:38,27.33,32
31,Paul Morris,15:51:02,27,26
31,Paul Morris,11:25:04,26.94,20
31,Paul Morris,16:14:48,26.55,21
31,Paul Morris,16:51:13,25.9,24
31,Paul Morris,16:20:12,25.77,32
33,Mark Hayford,13:39:01,28.06,18
37,Mark Ingram,13:14:47,27.54,28
37,Mark Ingram,15:32:19,27,28
37,Mark Ingram,13:30:01,26.85,18
37,Mark Ingram,14:18:59,25.91,33
37,Mark Ingram,14:11:49,25.87,18
37,Mark Ingram,15:42:40,25.84,20
37,Mark Ingram,16:20:40,25.77,28
37,Mark Ingram,16:01:18,25.74,22
37,Mark Ingram,15:50:44,25.7,24
37,Mark Ingram,14:26:57,25.39,29
37,Mark Ingram,13:38:11,25.29,28
37,Mark Ingram,16:14:44,25.2,27
37,Mark Ingram,16:26:04,23.91,20
40,Simon Hinkley,13:38:26,33.69,18
40,Simon Hinkley,13:30:11,32.89,28
40,Simon Hinkley,13:23:24,32.44,32
40,Simon Hinkley,15:19:51,32.28,27
40,Simon Hinkley,11:35:05,32.13,28
40,Simon Hinkley,12:25:51,31.91,25
40,Simon Hinkley,12:30:51,31.7,21
40,Simon Hinkley,15:12:08,31.61,25
40,Simon Hinkley,15:47:43,31.49,25
40,Simon Hinkley,14:10:06,31.49,20
40,Simon Hinkley,11:46:20,31.39,25
40,Simon Hinkley,13:48:59,31.34,28
40,Simon Hinkley,13:16:18,31.24,24
40,Simon Hinkley,12:08:12,31.13,18
40,Simon Hinkley,16:45:28,30.83,23
40,Simon Hinkley,16:26:14,30.55,17
40,Simon Hinkley,16:14:17,30.44,22
40,Simon Hinkley,15:27:39,30.4,16
40,Simon Hinkley,11:58:57,29.95,29
40,Simon Hinkley,11:23:08,29.86,22
40,Simon Hinkley,15:35:59,29.79,21
40,Simon Hinkley,16:57:32,29.51,24
40,Simon Hinkley,13:57:47,29.34,20
40,Simon Hinkley,16:51:53,29.25,16
40,Simon Hinkley,16:05:35,28.56,21
43,Charles Wilson,16:59:20,29.29,18
43,Charles Wilson,16:50:07,28.64,22
43,Charles Wilson,16:32:58,25.26,26
44,David Strudwick,14:12:36,31.09,18
44,David Strudwick,11:43:14,30.98,27
44,David Strudwick,13:34:11,30.11,21
44,David Strudwick,14:24:16,30.06,22
44,David Strudwick,14:02:57,30.06,24
44,David Strudwick,12:07:25,30.05,28
44,David Strudwick,11:32:24,29.95,26
44,David Strudwick,13:46:38,28.95,27
44,David Strudwick,11:53:44,28.47,29
44,David Strudwick,15:33:14,28.18,26
44,David Strudwick,13:19:50,28.09,9
44,David Strudwick,16:07:58,27.97,33
44,David Strudwick,15:20:39,27.89,25
44,David Strudwick,16:37:48,27.78,20
44,David Strudwick,16:21:17,27.3,21
45,Alex Montgomery,15:11:35,29.74,27
45,Alex Montgomery,15:04:31,28.43,31
45,Alex Montgomery,15:26:43,28.3,23
45,Alex Montgomery,15:41:06,27.86,26
45,Alex Montgomery,16:55:12,27.65,24
45,Alex Montgomery,16:20:49,27.54,27
45,Alex Montgomery,16:43:45,27.38,25
45,Alex Montgomery,15:57:13,26.89,26
45,Alex Montgomery,16:29:29,26.19,19
45,Alex Montgomery,16:50:01,25.91,25
45,Alex Montgomery,16:08:23,25.7,19
46,Denis Royet,12:30:01,31.75,32
46,Denis Royet,13:22:21,31.69,19
46,Denis Royet,13:09:42,31.64,25
46,Denis Royet,15:28:45,31.09,27
46,Denis Royet,12:23:26,30.93,30
46,Denis Royet,14:21:14,30.84,26
46,Denis Royet,14:00:03,30.74,26
46,Denis Royet,11:39:09,30.68,32
46,Denis Royet,13:37:39,30.64,25
46,Denis Royet,15:33:58,30.64,24
46,Denis Royet,15:17:05,30.54,26
46,Denis Royet,13:46:24,30.44,28
46,Denis Royet,14:27:46,30.3,33
46,Denis Royet,14:14:16,30.26,22
46,Denis Royet,15:22:32,29.97,23
46,Denis Royet,14:06:07,29.88,23
46,Denis Royet,12:16:21,29.86,24
46,Denis Royet,13:14:12,29.79,26
46,Denis Royet,11:28:25,29.77,27
46,Denis Royet,12:07:43,29.77,29
46,Denis Royet,16:05:22,29.65,20
46,Denis Royet,16:39:47,29.6,19
46,Denis Royet,15:41:34,29.47,24
46,Denis Royet,16:11:58,29.38,21
46,Denis Royet,16:18:06,28.9,25
46,Denis Royet,15:48:38,28.68,28
46,Denis Royet,15:57:16,28.68,25
46,Denis Royet,15:11:47,27.81,33
47,Stacey Vass,15:33:41,29.25,22
47,Stacey Vass,13:25:08,28.99,22
47,Stacey Vass,13:18:56,28.94,21
47,Stacey Vass,13:10:30,28.77,21
47,Stacey Vass,15:13:33,28.64,16
47,Stacey Vass,15:18:15,28.59,19
47,Stacey Vass,15:46:19,28.56,27
47,Stacey Vass,15:40:12,28.46,21
47,Stacey Vass,15:27:50,28.02,22
47,Stacey Vass,15:58:30,27.81,22
47,Stacey Vass,12:27:29,27.48,24
51,Clive Ellis,11:49:11,29.36,24
51,Clive Ellis,12:06:58,29.22,28
51,Clive Ellis,12:17:21,28.73,0
51,Clive Ellis,11:25:38,28.55,23
51,Clive Ellis,11:59:12,27.61,27
52,Dan Ellis,14:21:28,34.84,25
52,Dan Ellis,14:24:32,34.73,27
52,Dan Ellis,15:51:50,34.53,28
52,Dan Ellis,14:15:34,34.23,20
52,Dan Ellis,15:22:57,33.06,23
52,Dan Ellis,16:10:48,33.06,18
52,Dan Ellis,16:15:35,32.61,26
52,Dan Ellis,15:48:26,31.8,23
52,Dan Ellis,16:41:57,31.49,32
52,Dan Ellis,16:37:26,29.78,28
52,Dan Ellis,16:31:06,29.6,25
52,Dan Ellis,16:49:27,29.12,28
53,Richard Holgate,13:12:22,30.06,28
53,Richard Holgate,14:04:22,29.93,26
53,Richard Holgate,13:25:14,29.83,21
53,Richard Holgate,13:02:55,29.16,31
53,Richard Holgate,13:52:15,29.16,27
53,Richard Holgate,15:14:59,28.99,30
53,Richard Holgate,15:30:23,28.8,28
53,Richard Holgate,12:05:55,27.84,29
53,Richard Holgate,13:39:41,26.01,25
53,Richard Holgate,12:16:41,23.56,29
53,Richard Holgate,12:27:03,21.24,18
56,Keith  Atkinson,14:21:47,33.23,26
56,Keith  Atkinson,14:28:34,32.88,25
56,Keith  Atkinson,13:42:04,32.45,27
56,Keith  Atkinson,15:36:30,32.18,22
56,Keith  Atkinson,13:36:55,32.02,23
56,Keith  Atkinson,15:22:12,31.96,29
56,Keith  Atkinson,13:28:40,31.86,32
56,Keith  Atkinson,15:31:06,31.86,34
56,Keith  Atkinson,15:28:02,31.85,22
56,Keith  Atkinson,13:58:36,31.81,25
56,Keith  Atkinson,15:43:16,31.81,31
56,Keith  Atkinson,15:53:34,31.65,24
56,Keith  Atkinson,14:14:57,31.64,25
56,Keith  Atkinson,15:39:58,31.49,23
56,Keith  Atkinson,15:48:09,31.34,27
56,Keith  Atkinson,13:48:50,31.29,29
56,Keith  Atkinson,16:02:12,30.93,24
56,Keith  Atkinson,16:05:52,30.69,21
56,Keith  Atkinson,13:23:52,30.69,24
56,Keith  Atkinson,16:17:12,30.45,22
56,Keith  Atkinson,16:08:51,30.4,20
61,Simon Andrew,11:37:56,27.64,20
61,Simon Andrew,11:24:25,26.19,24
61,Simon Andrew,12:18:15,23.98,27
61,Simon Andrew,16:12:18,22.44,30
63,David White,13:55:34,36.64,27
63,David White,15:26:24,34.92,22
63,David White,13:16:35,34.3,20
63,David White,15:20:07,34.23,28
63,David White,13:23:35,34.23,26
63,David White,15:10:13,34.11,19
63,David White,15:32:49,33.99,26
63,David White,13:37:49,33.57,15
63,David White,14:05:53,33.11,20
63,David White,14:28:18,33.01,24
63,David White,16:16:21,32.5,25
63,David White,13:48:43,32.22,27
63,David White,14:23:20,26.88,29
68,Alan Cross,13:16:46,31.96,24
68,Alan Cross,11:48:21,31.39,28
68,Alan Cross,13:21:49,31.29,25
68,Alan Cross,12:02:07,31.28,26
68,Alan Cross,15:49:50,30.99,18
68,Alan Cross,15:11:09,30.99,27
68,Alan Cross,12:26:02,30.98,24
68,Alan Cross,13:28:33,30.74,31
68,Alan Cross,11:55:10,30.63,23
68,Alan Cross,11:39:57,30.39,30
68,Alan Cross,15:21:42,30.3,22
68,Alan Cross,14:13:39,30.3,23
68,Alan Cross,11:32:45,30.23,15
68,Alan Cross,15:16:18,30.22,25
68,Alan Cross,12:31:30,30.14,23
68,Alan Cross,14:04:10,29.83,23
68,Alan Cross,15:42:48,29.78,23
68,Alan Cross,13:35:51,29.74,27
68,Alan Cross,12:18:45,29.71,26
68,Alan Cross,15:27:28,29.56,20
68,Alan Cross,13:43:41,29.43,28
68,Alan Cross,11:24:47,29.4,28
68,Alan Cross,16:04:49,29.33,18
68,Alan Cross,13:55:26,29.25,28
68,Alan Cross,14:19:45,29.07,25
68,Alan Cross,13:49:22,29.02,28
68,Alan Cross,15:57:24,28.68,25
68,Alan Cross,15:33:17,28.47,23
71,Dion Hunt,12:24:30,29.72,23
71,Dion Hunt,15:05:10,29.56,26
71,Dion Hunt,12:01:56,29.17,26
71,Dion Hunt,12:15:11,29.13,22
71,Dion Hunt,15:21:20,28.52,25
71,Dion Hunt,15:41:43,28.42,29
71,Dion Hunt,16:37:17,28.14,18
71,Dion Hunt,16:56:01,27.61,20
71,Dion Hunt,16:07:12,26.62,29
73,Peter Davis,13:38:07,31.7,24
73,Peter Davis,15:36:22,31.28,25
73,Peter Davis,14:13:32,31.19,23
73,Peter Davis,16:11:43,31.14,20
73,Peter Davis,15:46:58,30.93,23
73,Peter Davis,12:04:48,30.73,24
73,Peter Davis,12:11:09,30.63,26
73,Peter Davis,16:40:47,30.59,19
73,Peter Davis,13:54:20,30.59,24
73,Peter Davis,15:53:52,30.5,24
73,Peter Davis,13:47:42,30.26,24
73,Peter Davis,16:44:50,29.98,18
73,Peter Davis,12:18:50,29.17,22
73,Peter Davis,14:22:43,29.07,30
73,Peter Davis,16:36:57,27.85,22
73,Peter Davis,14:03:49,26.81,29
75,Robin Penna,13:27:47,32.34,27
75,Robin Penna,13:20:39,32.18,20
75,Robin Penna,12:27:58,32.08,22
75,Robin Penna,15:28:23,31.96,23
75,Robin Penna,14:20:37,31.65,29
75,Robin Penna,13:45:53,31.44,24
75,Robin Penna,15:21:30,31.34,28
75,Robin Penna,16:24:36,31.29,28
75,Robin Penna,14:14:01,31.19,28
75,Robin Penna,15:57:59,31.03,18
75,Robin Penna,13:36:27,31.03,16
75,Robin Penna,14:03:05,30.93,29
75,Robin Penna,16:48:20,30.93,24
75,Robin Penna,16:15:29,30.89,29
75,Robin Penna,12:11:42,30.88,30
75,Robin Penna,13:53:12,30.83,29
75,Robin Penna,12:06:52,30.83,28
75,Robin Penna,16:03:11,30.65,27
75,Robin Penna,16:52:57,30.65,26
75,Robin Penna,15:35:02,30.5,26
75,Robin Penna,12:20:46,30.43,22
75,Robin Penna,14:27:06,30.4,24
75,Robin Penna,16:09:34,30.3,22
75,Robin Penna,15:49:57,30.07,24
75,Robin Penna,13:12:59,30.06,24
75,Robin Penna,15:44:38,29.93,28
75,Robin Penna,16:44:17,29.69,32
75,Robin Penna,14:08:31,29.6,26
75,Robin Penna,16:19:43,29.6,21
75,Robin Penna,16:38:26,29.03,19
75,Robin Penna,16:31:56,28.95,25
82,Kevin Greenslade,13:59:28,33.23,22
82,Kevin Greenslade,13:50:31,32.94,28
82,Kevin Greenslade,13:26:04,32.56,20
82,Kevin Greenslade,14:19:14,32.56,30
82,Kevin Greenslade,14:10:38,32.34,27
82,Kevin Greenslade,13:32:53,31.39,24
82,Kevin Greenslade,16:12:51,31.13,23
82,Kevin Greenslade,15:48:03,30.99,26
82,Kevin Greenslade,16:01:51,30.79,20
82,Kevin Greenslade,13:20:28,30.69,25
82,Kevin Greenslade,15:53:20,30.21,31
82,Kevin Greenslade,13:44:11,29.51,20
82,Kevin Greenslade,14:03:53,28.68,33
86,Jonathan Mobbs,15:03:07,30.25,29
86,Jonathan Mobbs,15:10:59,29.7,25
86,Jonathan Mobbs,15:30:35,29.55,27
86,Jonathan Mobbs,15:38:20,29.33,26
86,Jonathan Mobbs,15:17:34,29.2,20
86,Jonathan Mobbs,15:43:38,28.68,33
86,Jonathan Mobbs,15:50:51,28.51,25
86,Jonathan Mobbs,16:08:30,28.18,22
86,Jonathan Mobbs,15:58:15,27.97,18
86,Jonathan Mobbs,16:29:00,27.73,19
86,Jonathan Mobbs,16:22:05,27.45,28
86,Jonathan Mobbs,16:15:09,27.26,21
89,Bob Cunningham,13:36:05,33.99,33
89,Bob Cunningham,15:49:09,33.46,25
89,Bob Cunningham,15:04:03,33.41,25
89,Bob Cunningham,14:14:20,33.29,22
89,Bob Cunningham,15:09:39,33.23,28
89,Bob Cunningham,13:56:13,33.12,29
89,Bob Cunningham,15:19:14,32.67,27
89,Bob Cunningham,15:42:18,32.07,21
89,Bob Cunningham,15:33:29,31.96,19
89,Bob Cunningham,16:13:21,31.86,19
89,Bob Cunningham,16:25:36,31.28,14
97,Mike Price,15:21:50,30.99,20
97,Mike Price,15:47:06,30.88,21
97,Mike Price,15:08:47,29.88,28
97,Mike Price,15:54:16,29.83,29
97,Mike Price,15:34:17,29.42,26
97,Mike Price,16:40:34,28.63,21
97,Mike Price,16:30:03,28.46,24
97,Mike Price,16:46:47,28.39,30
97,Mike Price,16:07:25,28.14,26
100,Mark Minter,14:07:41,29.2,24
100,Mark Minter,14:18:33,28.64,30
100,Mark Minter,12:21:53,28.47,27
100,Mark Minter,13:59:56,28.22,29
100,Mark Minter,15:31:41,27.54,21
100,Mark Minter,15:21:13,26.11,20
100,Mark Minter,15:50:33,24.27,29
112,Eugene Dunkerbeck,13:33:39,30.5,25
112,Eugene Dunkerbeck,14:05:29,28.86,22
112,Eugene Dunkerbeck,13:46:04,28.85,22
113,Victor Couto,14:04:02,26.77,26
131,Paul Simmons,13:21:11,32.89,30
131,Paul Simmons,13:29:13,32.02,34
131,Paul Simmons,14:19:49,31.91,24
131,Paul Simmons,15:09:51,31.75,18
131,Paul Simmons,13:49:05,31.7,27
131,Paul Simmons,13:09:59,31.49,25
131,Paul Simmons,13:35:38,31.04,30
131,Paul Simmons,15:56:38,30.94,23
131,Paul Simmons,13:15:12,30.84,23
131,Paul Simmons,15:03:56,30.8,24
131,Paul Simmons,14:00:43,30.36,31
131,Paul Simmons,15:37:15,30.3,26
131,Paul Simmons,13:54:00,30.25,30
131,Paul Simmons,14:13:47,30.17,32
131,Paul Simmons,12:26:45,30.1,25
131,Paul Simmons,14:07:24,29.88,28
131,Paul Simmons,12:16:53,29.86,24
131,Paul Simmons,13:42:40,29.74,21
131,Paul Simmons,15:31:46,29.7,21
131,Paul Simmons,15:24:57,29.51,24
131,Paul Simmons,16:43:29,29.38,28
131,Paul Simmons,16:08:39,29.34,22
131,Paul Simmons,16:15:20,29.16,21
131,Paul Simmons,16:05:01,28.9,16
131,Paul Simmons,16:29:16,28.47,24
131,Paul Simmons,16:48:12,28.38,22
131,Paul Simmons,16:21:10,28.3,26
131,Paul Simmons,15:51:05,27.97,22
131,Paul Simmons,14:26:20,27.77,24
131,Paul Simmons,16:35:05,27.7,18
131,Paul Simmons,16:53:56,27,27
133,Rupert Fisher,14:12:08,27.49,26
133,Rupert Fisher,14:19:38,27.18,25
133,Rupert Fisher,13:57:23,26.85,21
133,Rupert Fisher,12:27:43,26.31,27
133,Rupert Fisher,12:20:09,26.31,21
133,Rupert Fisher,13:28:07,26.11,29
133,Rupert Fisher,13:15:16,23.68,24
133,Rupert Fisher,13:07:46,14.16,20
151,Norman Betts,11:41:15,30.29,16
151,Norman Betts,14:23:04,28.59,26
151,Norman Betts,13:04:09,28.3,27
151,Norman Betts,13:17:08,28.3,15
151,Norman Betts,12:22:21,28.05,30
151,Norman Betts,15:35:53,26.7,26
151,Norman Betts,13:48:30,25.87,30
151,Norman Betts,15:44:26,25.43,26
157,Nigel Spriggs,13:26:14,32.08,23
157,Nigel Spriggs,14:15:42,31.69,18
157,Nigel Spriggs,15:20:20,31.54,28
157,Nigel Spriggs,15:32:34,31.44,24
157,Nigel Spriggs,14:26:37,31.23,29
157,Nigel Spriggs,13:07:42,29.61,14
157,Nigel Spriggs,15:59:38,29.38,23
157,Nigel Spriggs,16:12:59,29.3,22
157,Nigel Spriggs,14:05:33,29.2,20
157,Nigel Spriggs,16:29:50,25.94,21
161,Daniel Robinson,14:08:58,27.42,31
161,Daniel Robinson,16:45:15,27.22,25
169,Austin Hind,15:45:52,28.18,30
169,Austin Hind,15:26:07,27.97,24
169,Austin Hind,11:45:32,26.49,21
169,Austin Hind,15:35:21,26.25,25
169,Austin Hind,14:07:21,26.19,32
169,Austin Hind,12:25:43,26.02,22
169,Austin Hind,15:12:37,26.02,24
169,Austin Hind,14:16:38,25.83,21
169,Austin Hind,11:55:41,25.63,24
