Entrant ID,Tally,Motion ID,Start Date,End Date,File ID,First Name,Family Name,Craft Type,Status,Entry Type
2221,63,821,2023-10-07,2023-10-13,VAS821STA,Stacey,Vass,Kiteboard,Open Class,All Week
1222,64,822,2023-10-07,2023-10-08,CHI822DYL,Dylan,Chick,Sailboard,Amateur,Youth W/E
3223,65,823,2023-10-07,2023-10-13,MOU823EME,Emeric,Mouret,Wingboard,Pro-Fleet,All Week
2224,66,824,2023-10-09,2023-10-13,DAV824STE,Steve,Davison,Kiteboard,Open Class,2 Days
1225,67,825,2023-10-09,2023-10-13,CRO825JIM,Jim,Crossley,Sailboard,Pro-Fleet,2 Days
1226,68,826,2023-10-09,2023-10-13,YEL826LIL,Lilia,Yelland,Sailboard,Amateur,2 Days
1227,69,829,2023-10-09,2023-10-13,BUK829MAC,Maciej,Bukolt,Sailboard,Amateur,2 Days
1228,70,833,2023-10-09,2023-10-13,ARN833PAU,Paul,Arnold,Sailboard,Amateur,2 Days
3229,71,836,2023-10-09,2023-10-13,ADA836JOE,Joe,Adams,Wingboard,Amateur,2 Days
1230,72,667,2023-10-09,2023-10-13,BRA667PAU,Paul,Bran,Sailboard,Amateur,2 Days
1231,73,630,2023-10-07,2023-10-08,KNI630FIN,Finnley,Knight,Sailboard,Amateur,Youth W/E
3231,73,841,2023-10-07,2023-10-08,KNI841FIN,Finnley,Knight,Wingboard,Amateur,Youth W/E
3232,74,854,2023-10-09,2023-10-13,DIC854ROD,Rod,Dickinson,Wingboard,Amateur,2 Days
1233,75,852,2023-10-07,2023-10-13,NOR852SCO,Scott,Norman,Sailboard,Gold-Fleet,All Week
2235,77,820,2023-10-07,2023-10-13,ALD820ELL,Ellie,Aldridge,Kiteboard,Open Class,All Week
3235,77,849,2023-10-07,2023-10-13,ALD849ELL,Ellie,Aldridge,Wingboard,Amateur,All Week
2236,78,814,2023-10-07,2023-10-13,SPE814NEI,Neil,Speed,Kiteboard,Open Class,All Week
3237,79,827,2023-10-07,2023-10-08,CHA827FIN,Finlay,Chandler,Wingboard,Amateur,Youth W/E
3238,80,866,2023-10-07,2023-10-08,YEL866SUL,Sullie,Yelland,Wingboard,Amateur,Youth W/E
1239,81,867,2023-10-07,2023-10-13,STA867SCO,Scotty,Stallman,Sailboard,Pro-Fleet,All Week
3240,82,869,2023-10-07,2023-10-08,OGO869FIN,Finn,O'Gorman,Wingboard,Amateur,Youth W/E
3242,84,871,2023-10-09,2023-10-13,COL871ANN,Anna,Collenette,Wingboard,Amateur,2 Days
3243,85,872,2023-10-09,2023-10-13,COL872AND,Andrew,Collenette,Wingboard,Amateur,2 Days
2244,86,0,2023-10-09,2023-10-13,EDE0MAR,Markus,Edegran,Kiteboard,Open Class,2 Days
1245,87,861,2023-10-07,2023-10-13,VAN861PAT,Patrick,Van Hoof,Sailboard,Pro-Fleet,All Week
1246,88,819,2023-10-07,2023-10-08,YOR819JAC,Jack James,York,Sailboard,Amateur,Youth W/E
3247,89,858,2023-10-09,2023-10-13,CRI858GUY,Guy,Cribb,Wingboard,Pro-Fleet,2 Days
3248,90,855,2023-10-07,2023-10-13,DAV855ZAR,Zara,Davis,Wingboard,Amateur,All Week
3249,91,857,2023-10-09,2023-10-13,STA857KUB,kuba,staite,Wingboard,Amateur,2 Days
3250,92,873,2023-10-09,2023-10-13,OLD873FRE,Freddie,Oldfield,Wingboard,Pro-Fleet,2 Days
2251,93,866,2023-10-09,2023-10-13,CAR866MAR,Martin,Carter,Kiteboard,Open Class,2 Days
3251,93,853,2023-10-09,2023-10-13,CAR853MAR,Martin,Carter,Wingboard,Amateur,2 Days
3252,94,869,2023-10-09,2023-10-13,DAR869HEL,Helena,Darvelid,Wingboard,Amateur,2 Days
1253,95,630,2023-10-09,2023-10-13,LAT630SAM,Sam,Latham,Sailboard,Gold-Fleet,2 Days
3253,95,827,2023-10-09,2023-10-13,LAT827SAM,Sam,Latham,Wingboard,Amateur,2 Days
3254,96,841,2023-10-09,2023-10-13,BUL841JAM,James,Bulson,Wingboard,Amateur,2 Days
1255,97,822,2023-10-09,2023-10-13,NEW822MAR,Mark,Newman,Sailboard,Pro-Fleet,2 Days
3202,44,819,2023-10-12,2023-10-13,WIL819DAV,Dave,Williams,Wingboard,Amateur,All Week
1206,48,805,2023-10-07,2023-10-08,ING805MAR,Mark,Ingram,Sailboard,Gold-Fleet,2 Days
2244,86,873,2023-10-07,2023-10-07,EDE873MAR,Markus,Edegran,Kiteboard,Open Class,2 Days
