Sail Number,FirstName,LastName,CraftType,Status,Time,Speed
292,Nic,Dodd,Sailboard,Result,11:14:07,19.95
292,Nic,Dodd,Sailboard,Result,11:18:01,19.22
292,Nic,Dodd,Sailboard,Result,11:23:45,18.86
292,Nic,Dodd,Sailboard,Result,12:03:03,18.45
292,Nic,Dodd,Sailboard,Result,12:33:25,18.05
292,Nic,Dodd,Sailboard,Result,12:39:19,18.04
292,Nic,Dodd,Sailboard,Result,12:08:24,17.83
292,Nic,Dodd,Sailboard,Result,11:38:22,17.8
292,Nic,Dodd,Sailboard,Result,12:28:37,17.28
292,Nic,Dodd,Sailboard,Result,12:23:23,16.8
292,Nic,Dodd,Sailboard,Result,11:29:56,16.51
292,Nic,Dodd,Sailboard,Result,11:44:10,16.35
292,Nic,Dodd,Sailboard,Result,12:46:44,16.32
292,Nic,Dodd,Sailboard,Result,11:58:21,16.24
292,Nic,Dodd,Sailboard,Result,11:52:36,16.12
292,Nic,Dodd,Sailboard,Result,12:52:58,14.67
329,Mark,Collins,Sailboard,Result,11:31:58,8.16
358,Gerard,Northwood,Sailboard,Result,11:16:20,20.68
358,Gerard,Northwood,Sailboard,Result,11:12:26,19.94
358,Gerard,Northwood,Sailboard,Result,11:26:37,19.94
358,Gerard,Northwood,Sailboard,Result,11:21:35,19.58
358,Gerard,Northwood,Sailboard,Result,12:01:33,19.46
358,Gerard,Northwood,Sailboard,Result,12:06:23,19.13
358,Gerard,Northwood,Sailboard,Result,11:33:06,18
358,Gerard,Northwood,Sailboard,Result,11:40:59,17.76
358,Gerard,Northwood,Sailboard,Result,12:13:06,17.68
358,Gerard,Northwood,Sailboard,Result,11:52:52,17.68
358,Gerard,Northwood,Sailboard,Result,11:46:41,17.2
420,Chris,Etchells,Sailboard,Result,12:29:18,6.51
420,Chris,Etchells,Sailboard,Result,12:58:28,4.5
559,Tony,Attfield,Sailboard,Result,12:32:56,8.88
521,dan,ellis,Sailboard,Result,12:26:48,23.86
521,dan,ellis,Sailboard,Result,12:32:48,22
598,Michael,Roberts,Sailboard,Result,12:01:48,13.17
598,Michael,Roberts,Sailboard,Result,12:27:00,12.65
598,Michael,Roberts,Sailboard,Result,12:17:54,10.16
625,Jason,McCaffrey,Kite Board,Result,11:13:23,23.04
625,Jason,McCaffrey,Kite Board,Result,11:23:01,22.88
625,Jason,McCaffrey,Kite Board,Result,11:59:24,22.81
625,Jason,McCaffrey,Kite Board,Result,11:18:36,22.7
625,Jason,McCaffrey,Kite Board,Result,11:28:47,22.17
625,Jason,McCaffrey,Kite Board,Result,12:37:18,21.72
625,Jason,McCaffrey,Kite Board,Result,12:07:11,21.71
625,Jason,McCaffrey,Kite Board,Result,11:38:03,21.36
625,Jason,McCaffrey,Kite Board,Result,12:11:18,21.23
625,Jason,McCaffrey,Kite Board,Result,12:44:07,20.83
625,Jason,McCaffrey,Kite Board,Result,12:48:37,20.8
625,Jason,McCaffrey,Kite Board,Result,11:42:30,20.78
625,Jason,McCaffrey,Kite Board,Result,12:03:00,20.58
625,Jason,McCaffrey,Kite Board,Result,11:51:11,20.57
625,Jason,McCaffrey,Kite Board,Result,11:34:10,20.34
625,Jason,McCaffrey,Kite Board,Result,12:19:35,20.18
625,Jason,McCaffrey,Kite Board,Result,11:55:38,20.08
625,Jason,McCaffrey,Kite Board,Result,11:06:33,20.04
625,Jason,McCaffrey,Kite Board,Result,11:47:19,20.01
625,Jason,McCaffrey,Kite Board,Result,12:28:41,19.3
625,Jason,McCaffrey,Kite Board,Result,12:33:34,18.61
625,Jason,McCaffrey,Kite Board,Result,12:15:24,17.76
625,Jason,McCaffrey,Kite Board,Result,12:53:52,17.18
630,,gifford,Boat,Result,12:39:56,15.44
630,,gifford,Boat,Result,12:49:54,13.95
630,,gifford,Boat,Result,12:10:51,13.81
630,,gifford,Boat,Result,12:24:00,13.4
630,,gifford,Boat,Result,12:00:37,11.72
863,Duncan,Adam,Sailboard,Result,12:03:50,18.68
863,Duncan,Adam,Sailboard,Result,12:30:48,17.43
863,Duncan,Adam,Sailboard,Result,12:09:50,17.28
863,Duncan,Adam,Sailboard,Result,12:16:13,16.45
863,Duncan,Adam,Sailboard,Result,11:42:33,16.04
863,Duncan,Adam,Sailboard,Result,11:55:42,15.12
863,Duncan,Adam,Sailboard,Result,12:36:51,14.7
888,Michael,George,Sailboard,Result,12:33:48,20.14
888,Michael,George,Sailboard,Result,11:25:52,19.87
888,Michael,George,Sailboard,Result,12:08:47,19.23
888,Michael,George,Sailboard,Result,12:00:27,19.06
888,Michael,George,Sailboard,Result,12:39:34,18.11
888,Michael,George,Sailboard,Result,12:19:26,18.09
888,Michael,George,Sailboard,Result,11:35:45,17.27
888,Michael,George,Sailboard,Result,11:50:46,15.99
888,Michael,George,Sailboard,Result,12:50:30,10.98
888,Michael,George,Sailboard,Result,12:28:50,8.96
