Sail Number,Finish Time,Speed (kts),Course Angle,Course Length,First Name,Last Name,Craft
102,15:56:00,18.55,100,544,Norman,Petty,Sailboard
112,14:39:00,11.92,100,544,Emily,Wood,Sailboard
112,15:08:00,5.13,100,544,Emily,Wood,Sailboard
112,14:15:00,1.68,100,544,Emily,Wood,Sailboard
118,14:16:00,7.49,100,544,Rosie,Timson,Sailboard
118,14:37:00,7.10,100,544,Rosie,Timson,Sailboard
169,15:12:00,21.81,100,544,steve,trigwell,Sailboard
169,14:51:00,20.84,100,544,steve,trigwell,Sailboard
169,15:02:00,20.21,100,544,steve,trigwell,Sailboard
169,15:22:00,19.97,100,544,steve,trigwell,Sailboard
169,15:36:00,19.96,100,544,steve,trigwell,Sailboard
169,13:44:00,17.22,100,544,steve,trigwell,Sailboard
169,13:33:00,16.15,100,544,steve,trigwell,Sailboard
169,13:27:00,15.75,100,544,steve,trigwell,Sailboard
169,15:50:00,7.90,100,544,steve,trigwell,Sailboard
181,15:17:00,24.17,100,544,Peter,Martin,Sailboard
181,15:12:00,24.08,100,544,Peter,Martin,Sailboard
181,15:00:00,23.09,100,544,Peter,Martin,Sailboard
181,14:51:00,22.83,100,544,Peter,Martin,Sailboard
181,15:23:00,22.18,100,544,Peter,Martin,Sailboard
181,14:45:00,20.95,100,544,Peter,Martin,Sailboard
181,15:29:00,20.65,100,544,Peter,Martin,Sailboard
206,15:34:00,20.82,100,544,Martin,Allman,Sailboard
206,15:20:00,20.24,100,544,Martin,Allman,Sailboard
206,15:26:00,20.05,100,544,Martin,Allman,Sailboard
206,15:08:00,20.00,100,544,Martin,Allman,Sailboard
206,15:13:00,19.80,100,544,Martin,Allman,Sailboard
206,15:03:00,19.74,100,544,Martin,Allman,Sailboard
206,15:56:00,19.26,100,544,Martin,Allman,Sailboard
206,14:59:00,19.19,100,544,Martin,Allman,Sailboard
206,16:05:00,17.82,100,544,Martin,Allman,Sailboard
206,15:42:00,17.81,100,544,Martin,Allman,Sailboard
206,16:05:00,15.84,100,544,Martin,Allman,Sailboard
211,15:16:00,22.23,100,544,Jamie,Walker,Sailboard
211,15:11:00,21.54,100,544,Jamie,Walker,Sailboard
211,15:32:00,21.24,100,544,Jamie,Walker,Sailboard
211,13:43:00,20.76,100,544,Jamie,Walker,Sailboard
211,15:24:00,19.76,100,544,Jamie,Walker,Sailboard
211,14:14:00,19.74,100,544,Jamie,Walker,Sailboard
211,13:47:00,19.44,100,544,Jamie,Walker,Sailboard
211,14:03:00,19.13,100,544,Jamie,Walker,Sailboard
211,13:58:00,19.06,100,544,Jamie,Walker,Sailboard
211,13:52:00,19.04,100,544,Jamie,Walker,Sailboard
211,15:50:00,18.11,100,544,Jamie,Walker,Sailboard
211,14:09:00,17.96,100,544,Jamie,Walker,Sailboard
211,12:53:00,12.29,100,544,Jamie,Walker,Sailboard
250,15:43:00,16.61,100,544,Alastair,Nichol,Sailboard
292,14:49:00,22.09,100,544,Nic,Dodd,Sailboard
292,14:55:00,20.73,100,544,Nic,Dodd,Sailboard
292,15:01:00,20.47,100,544,Nic,Dodd,Sailboard
292,15:07:00,20.31,100,544,Nic,Dodd,Sailboard
292,14:38:00,19.95,100,544,Nic,Dodd,Sailboard
