Sail Number,Title,First Name,Last Name,Craft Type,Master or Junior,Novice,Professional,Start Time,Finish Time,Elapsed Time,Speed (kts),Course Length,Course Angle
83,Mr,David,Tuttlebee,Sailboard,Master,No,No,16:11:12,16:12:05,52.949,19.22,523,85
328,Mr,Adrian,Wallis,Sailboard,Master,No,No,16:11:34,16:12:27,52.973,19.21,523,85
83,Mr,David,Tuttlebee,Sailboard,Master,No,No,11:17:41,11:18:36,54.8454,19.2,541,69
190,Mr,James,Grogono,Boat,Master,No,No,11:18:34,11:19:28,54.8592,19.19,541,69
609,Mr,stacey,vass,Kite Board,Neither,No,Yes,16:25:35,16:26:28,53.1406,19.15,523,85
863,Mr,Duncan,Adam,Sailboard,Neither,No,No,11:24:42,11:25:37,54.9991,19.14,541,69
131,Mr,Paul,Simmons,Sailboard,Neither,No,Yes,16:25:17,16:26:10,53.1806,19.14,523,85
747,Mr,Simon,White,Sailboard,Master,Yes,No,13:53:07,13:54:02,55.0357,19.13,541,69
23,Mr,BARRY,MASON,Sailboard,Master,No,No,11:17:37,11:18:32,55.0907,19.11,541,69
131,Mr,Paul,Simmons,Sailboard,Neither,No,Yes,16:29:58,16:30:52,53.3004,19.09,523,85
480,Mr,Tony,Ireland,Sailboard,Neither,No,Yes,16:09:31,16:10:25,53.4931,19.03,523,85
388,Mr,George,Turpin,Sailboard,Junior,Yes,No,14:21:43,14:22:38,55.3618,19.02,541,69
44,Mr,Dave,Strudwick,Sailboard,Master,No,No,14:25:04,14:25:59,55.7137,18.9,541,69
480,Mr,Tony,Ireland,Sailboard,Neither,No,Yes,11:22:08,11:23:03,55.787,18.87,541,69
46,Mr,denis,royet,Sailboard,Neither,No,No,16:24:16,16:25:10,54.0365,18.83,523,85
747,Mr,Simon,White,Sailboard,Master,Yes,No,14:06:56,14:07:51,55.9148,18.83,541,69
211,Mr,Jamie,Walker,Sailboard,Neither,No,No,11:27:40,11:28:36,55.9372,18.82,541,69
609,Mr,stacey,vass,Kite Board,Neither,No,Yes,11:22:54,11:23:50,55.9397,18.82,541,69
863,Mr,Duncan,Adam,Sailboard,Neither,No,No,13:48:13,13:49:09,56.1638,18.74,541,69
604,Mr,TONY,MORRIS,Sailboard,Neither,No,No,14:24:21,14:25:17,56.2016,18.73,541,69
598,Mr,Michael,Roberts,Sailboard,Master,No,No,14:09:34,14:10:30,56.3865,18.67,541,69
131,Mr,Paul,Simmons,Sailboard,Neither,No,Yes,14:25:28,14:26:24,56.4095,18.66,541,69
598,Mr,Michael,Roberts,Sailboard,Master,No,No,14:24:18,14:25:15,56.5295,18.62,541,69
863,Mr,Duncan,Adam,Sailboard,Neither,No,No,16:10:43,16:11:38,54.9808,18.51,523,85
44,Mr,Dave,Strudwick,Sailboard,Master,No,No,14:19:40,14:20:37,56.8977,18.5,541,69
44,Mr,Dave,Strudwick,Sailboard,Master,No,No,16:15:58,16:16:53,55.0846,18.48,523,85
131,Mr,Paul,Simmons,Sailboard,Neither,No,Yes,13:59:42,14:00:39,57.0591,18.45,541,69
598,Mr,Michael,Roberts,Sailboard,Master,No,No,13:56:05,13:57:02,57.2192,18.4,541,69
131,Mr,Paul,Simmons,Sailboard,Neither,No,Yes,14:20:28,14:21:24,57.2416,18.39,541,69
598,Mr,Michael,Roberts,Sailboard,Master,No,No,13:42:16,13:43:13,57.444,18.33,541,69
131,Mr,Paul,Simmons,Sailboard,Neither,No,Yes,11:15:05,11:16:03,57.4467,18.33,541,69
747,Mr,Simon,White,Sailboard,Master,Yes,No,14:17:35,14:18:32,57.5938,18.28,541,69
83,Mr,David,Tuttlebee,Sailboard,Master,No,No,13:59:13,14:00:11,58.251,18.07,541,69
44,Mr,Dave,Strudwick,Sailboard,Master,No,No,14:32:20,14:33:18,58.4005,18.03,541,69
131,Mr,Paul,Simmons,Sailboard,Neither,No,Yes,14:06:46,14:07:45,58.5384,17.98,541,69
811,Mr,Henry,Luce,Sailboard,Neither,Yes,No,15:47:54,15:48:51,56.9196,17.88,523,85
68,Mr,Allan,Cross,Sailboard,Neither,No,Yes,14:26:08,14:27:07,58.8811,17.88,541,69
21,Mr,Dan,Simpson,Sailboard,Neither,No,Yes,14:51:07,14:52:06,59.0873,17.82,541,69
79,Mr,ROB,KING,Sailboard,Neither,Yes,No,11:12:41,11:13:40,59.1291,17.8,541,69
480,Mr,Tony,Ireland,Sailboard,Neither,No,Yes,14:06:34,14:07:33,59.2183,17.78,541,69
480,Mr,Tony,Ireland,Sailboard,Neither,No,Yes,16:25:41,16:26:39,57.3399,17.75,523,85
140,Mr,william,Oscroft,Sailboard,Neither,No,No,11:14:45,11:15:45,59.4889,17.7,541,69
604,Mr,TONY,MORRIS,Sailboard,Neither,No,No,13:39:41,13:40:40,59.6039,17.66,541,69
44,Mr,Dave,Strudwick,Sailboard,Master,No,No,14:00:35,14:01:34,59.6667,17.64,541,69
863,Mr,Duncan,Adam,Sailboard,Neither,No,No,15:52:59,15:53:57,57.783,17.61,523,85
863,Mr,Duncan,Adam,Sailboard,Neither,No,No,16:01:25,16:02:24,57.825,17.6,523,85
129,Mr,Tim,Fricke,Sailboard,Neither,Yes,No,11:13:00,11:13:59,59.8363,17.59,541,69
83,Mr,David,Tuttlebee,Sailboard,Master,No,No,16:24:32,16:25:30,57.8439,17.59,523,85
44,Mr,Dave,Strudwick,Sailboard,Master,No,No,14:15:12,14:16:12,59.9296,17.57,541,69
131,Mr,Paul,Simmons,Sailboard,Neither,No,Yes,15:56:07,15:57:05,58.0867,17.52,523,85
328,Mr,Adrian,Wallis,Sailboard,Master,No,No,11:15:10,11:16:11,60.3461,17.45,541,69
373,Mr,Andy,Ruby,Sailboard,Neither,No,No,11:19:58,11:20:58,60.3792,17.44,541,69
480,Mr,Tony,Ireland,Sailboard,Neither,No,Yes,15:36:33,15:37:32,58.3925,17.43,523,85
480,Mr,Tony,Ireland,Sailboard,Neither,No,Yes,14:16:28,14:17:28,60.5054,17.4,541,69
480,Mr,Tony,Ireland,Sailboard,Neither,No,Yes,14:00:27,14:01:27,60.6666,17.35,541,69
83,Mr,David,Tuttlebee,Sailboard,Master,No,No,14:38:38,14:39:39,60.7677,17.32,541,69
604,Mr,TONY,MORRIS,Sailboard,Neither,No,No,13:28:50,13:29:51,60.9081,17.28,541,69
863,Mr,Duncan,Adam,Sailboard,Neither,No,No,14:11:23,14:12:24,61.0337,17.25,541,69
450,Mr,phill,luckhurst,Sailboard,Neither,No,No,11:22:15,11:23:16,61.0898,17.23,541,69
328,Mr,Adrian,Wallis,Sailboard,Master,No,No,11:21:53,11:22:55,61.4129,17.14,541,69
83,Mr,David,Tuttlebee,Sailboard,Master,No,No,14:27:11,14:28:13,62.0964,16.95,541,69
328,Mr,Adrian,Wallis,Sailboard,Master,No,No,16:19:49,16:20:49,60.0838,16.94,523,85
68,Mr,Allan,Cross,Sailboard,Neither,No,Yes,11:45:00,11:46:02,62.248,16.91,541,69
21,Mr,Dan,Simpson,Sailboard,Neither,No,Yes,14:44:53,14:45:56,62.4071,16.87,541,69
68,Mr,Allan,Cross,Sailboard,Neither,No,Yes,13:49:38,13:50:41,62.4267,16.86,541,69
58,Mr,Graeme,Fuller,Sailboard,Master,No,Yes,14:07:35,14:08:38,62.4498,16.86,541,69
609,Mr,stacey,vass,Kite Board,Neither,No,Yes,14:58:02,14:59:05,62.4703,16.85,541,69
747,Mr,Simon,White,Sailboard,Master,Yes,No,11:43:29,11:44:31,62.4924,16.85,541,69
131,Mr,Paul,Simmons,Sailboard,Neither,No,Yes,16:05:38,16:06:38,60.508,16.82,523,85
131,Mr,Paul,Simmons,Sailboard,Neither,No,Yes,13:54:10,13:55:13,62.6345,16.81,541,69
349,Mr,Brian "Bruno",Warner,Sailboard,Master,No,No,11:19:03,11:20:05,62.6469,16.8,541,69
131,Mr,Paul,Simmons,Sailboard,Neither,No,Yes,14:41:21,14:42:24,62.7353,16.78,541,69
58,Mr,Graeme,Fuller,Sailboard,Master,No,Yes,13:57:41,13:58:44,62.7783,16.77,541,69
609,Mr,stacey,vass,Kite Board,Neither,No,Yes,11:39:36,11:40:39,62.9463,16.72,541,69
131,Mr,Paul,Simmons,Sailboard,Neither,No,Yes,13:43:48,13:44:51,63.083,16.69,541,69
676,Mr,Richard,Box,Sailboard,Master,Yes,No,11:21:15,11:22:18,63.0913,16.69,541,69
480,Mr,Tony,Ireland,Sailboard,Neither,No,Yes,16:00:05,16:01:06,61.1195,16.65,523,85
44,Mr,Dave,Strudwick,Sailboard,Master,No,No,14:57:50,14:58:53,63.2462,16.65,541,69
131,Mr,Paul,Simmons,Sailboard,Neither,No,Yes,14:31:26,14:32:30,64.0478,16.44,541,69
480,Mr,Tony,Ireland,Sailboard,Neither,No,Yes,11:44:25,11:45:29,64.3697,16.35,541,69
102,Mrs,Linda,Cleary,Sailboard,Neither,Yes,No,11:21:24,11:22:29,64.3719,16.35,541,69
131,Mr,Paul,Simmons,Sailboard,Neither,No,Yes,11:36:24,11:37:28,64.3818,16.35,541,69
58,Mr,Graeme,Fuller,Sailboard,Master,No,Yes,13:48:37,13:49:42,64.4745,16.33,541,69
44,Mr,Dave,Strudwick,Sailboard,Master,No,No,14:42:32,14:43:36,64.6789,16.28,541,69
328,Mr,Adrian,Wallis,Sailboard,Master,No,No,16:02:04,16:03:06,62.5532,16.27,523,85
83,Mr,David,Tuttlebee,Sailboard,Master,No,No,14:54:21,14:55:26,64.9902,16.2,541,69
480,Mr,Tony,Ireland,Sailboard,Neither,No,Yes,12:04:31,12:05:36,65.4554,16.08,541,69
811,Mr,Henry,Luce,Sailboard,Neither,Yes,No,11:13:12,11:14:17,65.6758,16.03,541,69
201,Miss,Elizabeth,Bowen,Sailboard,Neither,Yes,No,11:23:23,11:24:29,65.6993,16.02,541,69
747,Mr,Simon,White,Sailboard,Master,Yes,No,11:48:19,11:49:25,66.2267,15.9,541,69
83,Mr,David,Tuttlebee,Sailboard,Master,No,No,16:03:17,16:04:21,64.1384,15.87,523,85
58,Mr,Graeme,Fuller,Sailboard,Master,No,Yes,14:19:46,14:20:52,66.3601,15.86,541,69
71,Mr,James,Morris,Sailboard,Neither,No,No,14:21:34,14:22:41,67.016,15.71,541,69
480,Mr,Tony,Ireland,Sailboard,Neither,No,Yes,12:23:05,12:24:13,67.8612,15.51,541,69
609,Mr,stacey,vass,Kite Board,Neither,No,Yes,16:21:38,16:22:44,66.0828,15.4,523,85
40,Mr,simon,Hinkley,Sailboard,Neither,No,Yes,11:19:26,11:20:35,68.4674,15.38,541,69
68,Mr,Allan,Cross,Sailboard,Neither,No,Yes,13:54:49,13:55:58,68.5295,15.36,541,69
58,Mr,Graeme,Fuller,Sailboard,Master,No,Yes,14:27:46,14:28:56,69.6153,15.12,541,69
328,Mr,Adrian,Wallis,Sailboard,Master,No,No,12:22:29,12:23:40,70.2805,14.98,541,69
480,Mr,Tony,Ireland,Sailboard,Neither,No,Yes,15:42:21,15:43:29,68.4863,14.86,523,85
131,Mr,Paul,Simmons,Sailboard,Neither,No,Yes,11:41:51,11:43:02,70.8941,14.85,541,69
811,Mr,Henry,Luce,Sailboard,Neither,Yes,No,15:41:50,15:43:01,70.886,14.36,523,85
27,Mr,Trevor Lyn,Whatford,Sailboard,Master,No,No,16:16:33,16:17:44,71.442,14.25,523,85
71,Mr,James,Morris,Sailboard,Neither,No,No,14:53:31,14:54:45,73.9569,14.23,541,69
68,Mr,Allan,Cross,Sailboard,Neither,No,Yes,14:45:48,14:47:05,76.5009,13.76,541,69
44,Mr,Dave,Strudwick,Sailboard,Master,No,No,12:26:23,12:27:40,77.0522,13.66,541,69
83,Mr,David,Tuttlebee,Sailboard,Master,No,No,14:15:30,14:16:47,77.0871,13.66,541,69
480,Mr,Tony,Ireland,Sailboard,Neither,No,Yes,12:11:19,12:12:37,77.6698,13.55,541,69
480,Mr,Tony,Ireland,Sailboard,Neither,No,Yes,11:14:20,11:15:38,78.1963,13.46,541,69
747,Mr,Simon,White,Sailboard,Master,Yes,No,15:54:22,15:55:38,76.3321,13.33,523,85
609,Mr,stacey,vass,Kite Board,Neither,No,Yes,14:45:40,14:47:03,82.188,12.81,541,69
811,Mr,Henry,Luce,Sailboard,Neither,Yes,No,15:56:30,15:57:53,83.0349,12.26,523,85
27,Mr,Trevor Lyn,Whatford,Sailboard,Master,No,No,15:59:28,16:00:53,84.8512,11.99,523,85
678,Mr,Stefan,Cook,Boat,Neither,No,Yes,11:19:43,11:21:11,87.9686,11.97,541,69
40,Mr,simon,Hinkley,Sailboard,Neither,No,Yes,11:47:08,11:48:38,90.1284,11.68,541,69
27,Mr,Trevor Lyn,Whatford,Sailboard,Master,No,No,14:17:51,14:19:22,90.1727,11.67,541,69
678,Mr,Stefan,Cook,Boat,Neither,No,Yes,11:30:52,11:32:23,90.5809,11.62,541,69
811,Mr,Henry,Luce,Sailboard,Neither,Yes,No,15:35:57,15:37:25,88.6839,11.48,523,85
190,Mr,James,Grogono,Boat,Master,No,No,11:47:42,11:49:15,93.0432,11.31,541,69
863,Mr,Duncan,Adam,Sailboard,Neither,No,No,16:20:26,16:21:56,90.023,11.31,523,85
190,Mr,James,Grogono,Boat,Master,No,No,12:08:37,12:10:13,96.0733,10.96,541,69
190,Mr,James,Grogono,Boat,Master,No,No,11:37:33,11:39:09,96.6064,10.9,541,69
58,Mr,Graeme,Fuller,Sailboard,Master,No,Yes,14:37:43,14:39:23,100.53,10.47,541,69
678,Mr,Stefan,Cook,Boat,Neither,No,Yes,14:55:36,14:57:20,104,10.12,541,69
27,Mr,Trevor Lyn,Whatford,Sailboard,Master,No,No,16:29:16,16:30:57,100.837,10.09,523,85
27,Mr,Trevor Lyn,Whatford,Sailboard,Master,No,No,15:45:57,15:47:39,102.417,9.94,523,85
670,Mr,Eddie,Murrell,Sailboard,Master,No,No,14:31:40,14:33:26,106.041,9.93,541,69
678,Mr,Stefan,Cook,Boat,Neither,No,Yes,11:42:48,11:44:35,106.434,9.89,541,69
190,Mr,James,Grogono,Boat,Master,No,No,11:58:28,12:00:15,107.023,9.84,541,69
103,Mr,IAN,RICHARDS,Sailboard,Master,No,No,14:12:44,14:14:36,111.986,9.4,541,69
190,Mr,James,Grogono,Boat,Master,No,No,12:17:21,12:19:15,114.079,9.23,541,69
42,Mr,John,Langdown,Sailboard,Neither,No,No,15:46:26,15:48:17,110.759,9.19,523,85
678,Mr,Stefan,Cook,Boat,Neither,No,Yes,14:46:41,14:48:37,115.223,9.14,541,69
42,Mr,John,Langdown,Sailboard,Neither,No,No,15:36:30,15:38:26,115.32,8.83,523,85
201,Miss,Elizabeth,Bowen,Sailboard,Neither,Yes,No,14:21:55,14:23:55,120.072,8.77,541,69
201,Miss,Elizabeth,Bowen,Sailboard,Neither,Yes,No,14:10:59,14:13:05,126.296,8.34,541,69
598,Mr,Michael,Roberts,Sailboard,Master,No,No,11:20:51,11:23:13,141.981,7.41,541,69
131,Mr,Paul,Simmons,Sailboard,Neither,No,Yes,12:10:00,12:12:33,152.97,6.88,541,69
58,Mr,Graeme,Fuller,Sailboard,Master,No,Yes,11:40:12,11:42:46,154.233,6.83,541,69
388,Mr,George,Turpin,Sailboard,Junior,Yes,No,11:49:27,11:52:04,157.776,6.67,541,69
27,Mr,Trevor Lyn,Whatford,Sailboard,Master,No,No,12:05:58,12:08:45,166.855,6.31,541,69
58,Mr,Graeme,Fuller,Sailboard,Master,No,Yes,12:27:00,12:29:47,166.991,6.3,541,69
171,Mr,sean,carroll,Sailboard,Neither,No,No,11:36:34,11:39:33,179.16,5.88,541,69
71,Mr,James,Morris,Sailboard,Neither,No,No,11:48:43,11:51:45,182.259,5.78,541,69
241,Miss,Helen,Lyle,Sailboard,Neither,Yes,No,12:16:12,12:19:20,188.557,5.58,541,69
42,Mr,John,Langdown,Sailboard,Neither,No,No,13:31:42,13:34:55,193.952,5.43,541,69
609,Mr,stacey,vass,Kite Board,Neither,No,Yes,11:37:48,11:41:02,193.922,5.43,541,69
598,Mr,Michael,Roberts,Sailboard,Master,No,No,11:57:00,12:00:19,198.132,5.31,541,69
131,Mr,Paul,Simmons,Sailboard,Neither,No,Yes,11:59:11,12:02:31,198.796,5.3,541,69
42,Mr,John,Langdown,Sailboard,Neither,No,No,13:18:30,13:21:54,204.295,5.15,541,69
29,Mr,tony,robinson,Sailboard,Master,No,No,11:34:41,11:38:08,207.031,5.09,541,69
